images,condition
images/k01.bmp,gestalt
images/k02.bmp,gestalt
images/k03.bmp,gestalt
images/k04.bmp,gestalt
images/k05.bmp,gestalt
images/k06.bmp,gestalt
images/k07.bmp,gestalt
images/k08.bmp,gestalt
images/k09.bmp,gestalt
images/k10.bmp,gestalt
images/k11.bmp,gestalt
images/k12.bmp,gestalt
images/k13.bmp,gestalt
images/k14.bmp,gestalt
images/k15.bmp,gestalt
images/k16.bmp,gestalt
images/k17.bmp,gestalt
images/k18.bmp,gestalt
images/k19.bmp,gestalt
images/k20.bmp,gestalt
images/k21.bmp,gestalt
images/k22.bmp,gestalt
images/k23.bmp,gestalt
images/k24.bmp,gestalt
images/k25.bmp,gestalt
images/k26.bmp,gestalt
images/k27.bmp,gestalt
images/k28.bmp,gestalt
images/k29.bmp,gestalt
images/k30.bmp,gestalt
images/i01.bmp,scrambled
images/i02.bmp,scrambled
images/i03.bmp,scrambled
images/i04.bmp,scrambled
images/i05.bmp,scrambled
images/i06.bmp,scrambled
images/i07.bmp,scrambled
images/i08.bmp,scrambled
images/i09.bmp,scrambled
images/i10.bmp,scrambled
images/i11.bmp,scrambled
images/i12.bmp,scrambled
images/i13.bmp,scrambled
images/i14.bmp,scrambled
images/i15.bmp,scrambled
images/i16.bmp,scrambled
images/i17.bmp,scrambled
images/i18.bmp,scrambled
images/i19.bmp,scrambled
images/i20.bmp,scrambled
images/i21.bmp,scrambled
images/i22.bmp,scrambled
images/i23.bmp,scrambled
images/i24.bmp,scrambled
images/i25.bmp,scrambled
images/i26.bmp,scrambled
images/i27.bmp,scrambled
images/i28.bmp,scrambled
images/i29.bmp,scrambled
images/i30.bmp,scrambled
images/INVk01.bmp,inverted
images/INVk03.bmp,inverted
images/INVk04.bmp,inverted
images/INVk05.bmp,inverted
images/INVk06.bmp,inverted
images/INVk09.bmp,inverted
images/INVk10.bmp,inverted
images/INVk12.bmp,inverted
images/INVk14.bmp,inverted
images/INVk15.bmp,inverted
images/INVk16.bmp,inverted
images/INVk18.bmp,inverted
images/INVk19.bmp,inverted
images/INVk21.bmp,inverted
images/INVk22.bmp,inverted
images/INVk23.bmp,inverted
images/INVk24.bmp,inverted
images/INVk25.bmp,inverted
images/INVk26.bmp,inverted
images/INVk27.bmp,inverted
images/INVk28.bmp,inverted
images/INVk29.bmp,inverted
images/INVk30.bmp,inverted
