participant,Geslacht,Geboortejaar,Totaalscore
P1,vrouw,1993,49
P2,vrouw,1993,46
P3,vrouw,1997,48
P4,vrouw,1993,53
22339,vrouw,1992,39
21661,vrouw,1997,43
11707,vrouw,1995,49
22681,vrouw,1996,35
16522,vrouw,1994,20
16981,vrouw,1995,41
18913,vrouw,1993,55
22819,vrouw,1975,35
20650,vrouw,1997,48
13201,vrouw,1994,34
22246,vrouw,1996,49
18445,vrouw,1993,33
19873,vrouw,1995,43
19201,vrouw,1992,47
21064,Man,1996,53
11755,vrouw,1995,46
21436,vrouw,1997,45
18019,vrouw,1996,36
20395,vrouw,1997,45
23068,Man,1993,29
20353,vrouw,,26
21700,vrouw,1997,53
21127,vrouw,1997,35
20959,Man,1998,50
23086,Man,1993,37
20803,vrouw,1996,33
20467,vrouw,1997,33
22567,Man,1993,26
17959,vrouw,1977,31
20404,vrouw,1997,30
21121,vrouw,1996,28
21625,vrouw,1991,33
22597,vrouw,1993,39
15928,vrouw,1996,42
9010,vrouw,1992,59
23143,Man,1996,56
21511,vrouw,1997,43
20755,vrouw,1997,40
23125,vrouw,1997,44
