,Unnamed: 0,images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating,rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,Unnamed: 27,img_x,density_x,hull_x,density_y,hull_y,img_y,density,hull,img
0,1,images/k20.bmp,gestalt,,,0.0,0.0,0.0,19.0,,,,,,,3.0,8.569,,,,,,,2016_Oct_17_1007,59.9207685989,Gestalt_exp1,1,5635,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
1,221,images/k20.bmp,gestalt,,,0.0,59.0,59.0,19.0,,,,,,,5.0,1.636,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,1,7333,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
2,401,images/k20.bmp,gestalt,,,0.0,78.0,78.0,19.0,,,,,,,2.0,1.152,,,,,,,2016_Oct_17_1508,59.7289465027,Gestalt_exp1,1,7576,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
3,562,images/k20.bmp,gestalt,,,0.0,78.0,78.0,19.0,,,,,,,5.0,1.402,,,,,,,2016_May_03_1203,60.0146520147,Gestalt_exp1,1,9010,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
4,720,images/k20.bmp,gestalt,,,0.0,75.0,75.0,19.0,,,,,,,5.0,1.869,,,,,,,2016_Sep_19_1511,59.8884276929,Gestalt_exp1,1,11485,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
5,831,images/k20.bmp,gestalt,,,0.0,25.0,25.0,19.0,,,,,,,4.0,2.419,,,,,,,2016_Apr_15_1205,59.8039758064,Gestalt_exp1,1,11707,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
6,1044,images/k20.bmp,gestalt,,,0.0,77.0,77.0,19.0,,,,,,,5.0,2.152,,,,,,,2016_Apr_21_1606,59.9297583837,Gestalt_exp1,1,11755,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
7,1159,images/k20.bmp,gestalt,,,0.0,31.0,31.0,19.0,,,,,,,2.0,4.102,,,,,,,2016_Sep_26_1705,59.9161463311,Gestalt_exp1,1,11758,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
8,1335,images/k20.bmp,gestalt,,,0.0,46.0,46.0,19.0,,,,,,,3.0,1.435,,,,,,,2016_Oct_03_1406,59.8820149965,Gestalt_exp1,1,12139,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
9,1486,images/k20.bmp,gestalt,,,0.0,36.0,36.0,19.0,,,,,,,5.0,1.618,,,,,,,2016_Aug_24_1710,59.9186285714,Gestalt_exp1,1,13105,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
