,images,condition,acc,density,hull
0,images/i01.bmp,Gestalt-scrambled,0.467532467532,0.0235954121512,0.639822222222
1,images/i01.bmp,Inverted-scrambled,0.506493506494,0.0235954121512,0.639822222222
2,images/i02.bmp,Gestalt-scrambled,0.324675324675,0.0496614140391,0.556033333333
3,images/i02.bmp,Inverted-scrambled,0.246753246753,0.0496614140391,0.556033333333
4,images/i03.bmp,Gestalt-scrambled,0.545454545455,0.017253019911,0.555222222222
5,images/i04.bmp,Gestalt-scrambled,0.649350649351,0.0696609190627,0.291833333333
6,images/i04.bmp,Inverted-scrambled,0.558441558442,0.0696609190627,0.291833333333
7,images/i05.bmp,Gestalt-scrambled,0.441558441558,0.0468508959769,0.611244444444
8,images/i05.bmp,Inverted-scrambled,0.402597402597,0.0468508959769,0.611244444444
9,images/i06.bmp,Gestalt-scrambled,0.480519480519,0.0911976150504,0.697722222222
10,images/i06.bmp,Inverted-scrambled,0.454545454545,0.0911976150504,0.697722222222
11,images/i07.bmp,Gestalt-scrambled,0.324675324675,0.063272658588,0.564177777778
12,images/i08.bmp,Gestalt-scrambled,0.38961038961,0.12212554205,0.442266666667
13,images/i09.bmp,Gestalt-scrambled,0.25974025974,0.0486479956932,0.399055555556
14,images/i09.bmp,Inverted-scrambled,0.285714285714,0.0486479956932,0.399055555556
15,images/i10.bmp,Gestalt-scrambled,0.480519480519,0.0538479825748,0.322911111111
16,images/i10.bmp,Inverted-scrambled,0.467532467532,0.0538479825748,0.322911111111
17,images/i11.bmp,Gestalt-scrambled,0.376623376623,0.0867730127067,0.638977777778
18,images/i12.bmp,Gestalt-scrambled,0.519480519481,0.0557575491123,0.478244444444
19,images/i12.bmp,Inverted-scrambled,0.376623376623,0.0557575491123,0.478244444444
20,images/i13.bmp,Gestalt-scrambled,0.363636363636,0.0476301859215,0.529333333333
21,images/i14.bmp,Gestalt-scrambled,0.584415584416,0.0921834510334,0.2814
22,images/i14.bmp,Inverted-scrambled,0.519480519481,0.0921834510334,0.2814
23,images/i15.bmp,Gestalt-scrambled,0.350649350649,0.0304199057561,0.477833333333
24,images/i15.bmp,Inverted-scrambled,0.402597402597,0.0304199057561,0.477833333333
25,images/i16.bmp,Gestalt-scrambled,0.376623376623,0.0236375065819,0.633611111111
26,images/i16.bmp,Inverted-scrambled,0.519480519481,0.0236375065819,0.633611111111
27,images/i17.bmp,Gestalt-scrambled,0.350649350649,0.0126507709847,0.272788888889
28,images/i18.bmp,Gestalt-scrambled,0.480519480519,0.0320151641616,0.399566666667
29,images/i18.bmp,Inverted-scrambled,0.519480519481,0.0320151641616,0.399566666667
30,images/i19.bmp,Gestalt-scrambled,0.467532467532,0.0285043406037,0.292633333333
31,images/i19.bmp,Inverted-scrambled,0.441558441558,0.0285043406037,0.292633333333
32,images/i20.bmp,Gestalt-scrambled,0.545454545455,0.0285206378847,0.185266666667
33,images/i21.bmp,Gestalt-scrambled,0.285714285714,0.0506107079287,0.684633333333
34,images/i21.bmp,Inverted-scrambled,0.350649350649,0.0506107079287,0.684633333333
35,images/i22.bmp,Gestalt-scrambled,0.402597402597,0.0233603007335,0.697811111111
36,images/i22.bmp,Inverted-scrambled,0.441558441558,0.0233603007335,0.697811111111
37,images/i23.bmp,Gestalt-scrambled,0.454545454545,0.0237116628174,0.578677777778
38,images/i23.bmp,Inverted-scrambled,0.441558441558,0.0237116628174,0.578677777778
39,images/i24.bmp,Gestalt-scrambled,0.38961038961,0.0168779638439,0.452622222222
40,images/i24.bmp,Inverted-scrambled,0.363636363636,0.0168779638439,0.452622222222
41,images/i25.bmp,Gestalt-scrambled,0.454545454545,0.029060543372,0.551266666667
42,images/i25.bmp,Inverted-scrambled,0.376623376623,0.029060543372,0.551266666667
43,images/i26.bmp,Gestalt-scrambled,0.402597402597,0.044992745471,0.487544444444
44,images/i26.bmp,Inverted-scrambled,0.428571428571,0.044992745471,0.487544444444
45,images/i27.bmp,Gestalt-scrambled,0.363636363636,0.0313777794221,0.613244444444
46,images/i27.bmp,Inverted-scrambled,0.454545454545,0.0313777794221,0.613244444444
47,images/i28.bmp,Gestalt-scrambled,0.467532467532,0.0274953123606,0.572244444444
48,images/i28.bmp,Inverted-scrambled,0.493506493506,0.0274953123606,0.572244444444
49,images/i29.bmp,Gestalt-scrambled,0.454545454545,0.0143863845741,0.607122222222
50,images/i29.bmp,Inverted-scrambled,0.38961038961,0.0143863845741,0.607122222222
51,images/i30.bmp,Gestalt-scrambled,0.324675324675,0.039973261431,0.465277777778
52,images/i30.bmp,Inverted-scrambled,0.38961038961,0.039973261431,0.465277777778
53,images/k01.bmp,Inverted-Gestalt,0.337662337662,0.0281807434661,0.405377777778
54,images/k02.bmp,Inverted-Gestalt,0.38961038961,0.0564015939809,0.265788888889
55,images/k04.bmp,Inverted-Gestalt,0.350649350649,0.0790599199746,0.177255555556
56,images/k05.bmp,Inverted-Gestalt,0.428571428571,0.0510586489055,0.422244444444
57,images/k06.bmp,Inverted-Gestalt,0.558441558442,0.097290200498,0.319866666667
58,images/k09.bmp,Inverted-Gestalt,0.584415584416,0.0572995924897,0.375311111111
59,images/k10.bmp,Inverted-Gestalt,0.428571428571,0.052182576485,0.4285
60,images/k12.bmp,Inverted-Gestalt,0.376623376623,0.059931785055,0.496922222222
61,images/k14.bmp,Inverted-Gestalt,0.415584415584,0.103837605474,0.150611111111
62,images/k15.bmp,Inverted-Gestalt,0.623376623377,0.0313092600822,0.478988888889
63,images/k16.bmp,Inverted-Gestalt,0.662337662338,0.025313363245,0.602644444444
64,images/k18.bmp,Inverted-Gestalt,0.415584415584,0.0364456417896,0.273833333333
65,images/k19.bmp,Inverted-Gestalt,0.506493506494,0.0318456894452,0.204877777778
66,images/k21.bmp,Inverted-Gestalt,0.38961038961,0.0521456467396,0.613522222222
67,images/k22.bmp,Inverted-Gestalt,0.545454545455,0.0221115186587,0.732866666667
68,images/k23.bmp,Inverted-Gestalt,0.467532467532,0.0283700265146,0.447044444444
69,images/k24.bmp,Inverted-Gestalt,0.519480519481,0.0158904895975,0.557422222222
70,images/k25.bmp,Inverted-Gestalt,0.428571428571,0.0301452682364,0.463811111111
71,images/k26.bmp,Inverted-Gestalt,0.532467532468,0.0529021035864,0.390255555556
72,images/k27.bmp,Inverted-Gestalt,0.558441558442,0.0323761833132,0.614855555556
73,images/k28.bmp,Inverted-Gestalt,0.519480519481,0.0282707687096,0.526588888889
74,images/k29.bmp,Inverted-Gestalt,0.532467532468,0.0173569016466,0.433644444444
75,images/k30.bmp,Inverted-Gestalt,0.545454545455,0.0524548937765,0.256966666667
76,images/INVk01.bmp,,,0.0281807434661,0.405377777778
77,images/INVk03.bmp,,,0.0262435435316,0.284544444444
78,images/INVk04.bmp,,,0.0790599199746,0.177222222222
79,images/INVk05.bmp,,,0.0510586489055,0.422333333333
80,images/INVk06.bmp,,,0.097290200498,0.320022222222
81,images/INVk09.bmp,,,0.0572995924897,0.375122222222
82,images/INVk10.bmp,,,0.052182576485,0.428633333333
83,images/INVk12.bmp,,,0.059931785055,0.496866666667
84,images/INVk14.bmp,,,0.103837605474,0.150577777778
85,images/INVk15.bmp,,,0.0313092600822,0.478777777778
86,images/INVk16.bmp,,,0.025313363245,0.603511111111
87,images/INVk18.bmp,,,0.0364456417896,0.273577777778
88,images/INVk19.bmp,,,0.0318456894452,0.204844444444
89,images/INVk21.bmp,,,0.0521456467396,0.613488888889
