,participant,img,Gestalt-scrambled,Inverted-Gestalt,Inverted-scrambled,gestalt,inverted,scrambled,diffGestalt,diffInv,hullDiff,densDiff
0,5635,1,1.0,0.0,1.0,5.0,4.0,2.0,3.0,2.0,-0.234444444444,0.00460912344787
1,5635,2,0.0,,,5.0,,3.0,2.0,,-0.290244444444,0.0111467933226
2,5635,3,1.0,0.0,0.0,5.0,4.0,2.0,3.0,2.0,-0.270766666667,0.0101584533402
3,5635,4,0.0,0.0,1.0,7.0,7.0,6.0,1.0,1.0,-0.114577777778,0.00844681479993
4,5635,5,0.0,0.0,1.0,6.0,7.0,3.0,3.0,4.0,-0.189,0.00229155864197
5,5635,6,0.0,0.0,1.0,8.0,8.0,2.0,6.0,6.0,-0.377855555556,0.00889073106128
6,5635,7,0.0,,,6.0,,5.0,1.0,,0.0646666666667,-0.00307759954249
7,5635,8,0.0,,,7.0,,6.0,1.0,,-0.153788888889,0.0157562191299
8,5635,9,1.0,1.0,0.0,6.0,7.0,7.0,-1.0,0.0,-0.0237444444444,0.00886377451772
9,5635,10,1.0,1.0,1.0,3.0,3.0,5.0,-2.0,-2.0,0.105588888889,0.00570845207801
10,5635,11,1.0,,,3.0,,2.0,1.0,,0.0168555555556,0.00136234284212
11,5635,12,0.0,0.0,1.0,5.0,5.0,6.0,-1.0,-1.0,0.0186777777778,0.00897918503964
12,5635,13,1.0,,,7.0,,8.0,-1.0,,-0.174311111111,0.00590556020577
13,5635,14,0.0,1.0,1.0,8.0,5.0,7.0,1.0,-2.0,-0.130788888889,0.0154222394647
14,5635,15,1.0,0.0,0.0,2.0,3.0,4.0,-2.0,-1.0,0.00115555555556,0.00133165305282
15,5635,16,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,-0.0309666666667,0.00365602306784
16,5635,17,0.0,,,2.0,,1.0,1.0,,-0.0370333333333,0.000716594707261
17,5635,18,0.0,1.0,0.0,5.0,5.0,6.0,-1.0,-1.0,-0.125733333333,0.00675204284885
18,5635,19,0.0,1.0,1.0,4.0,4.0,5.0,-1.0,-1.0,-0.0877555555556,0.00770715905724
19,5635,20,0.0,,,3.0,,5.0,-2.0,,0.106566666667,-0.00766691666074
20,5635,21,0.0,1.0,0.0,3.0,6.0,5.0,-2.0,1.0,-0.0711111111111,0.00385365895387
21,5635,22,1.0,1.0,0.0,2.0,1.0,4.0,-2.0,-3.0,0.0350555555556,-0.000264336548255
22,5635,23,1.0,1.0,1.0,3.0,6.0,3.0,0.0,3.0,-0.131633333333,0.00444969970055
23,5635,24,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.1048,7.03192645681e-05
24,5635,25,0.0,0.0,1.0,6.0,5.0,4.0,2.0,1.0,-0.0874555555556,0.000602427939496
25,5635,26,0.0,1.0,0.0,8.0,7.0,7.0,1.0,0.0,-0.0972888888889,0.0107651195987
26,5635,27,0.0,1.0,1.0,6.0,6.0,2.0,4.0,4.0,0.00161111111111,0.00196512124492
27,5635,28,1.0,1.0,0.0,6.0,7.0,4.0,2.0,3.0,-0.0456555555556,0.00137553891697
28,5635,29,0.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,-0.173477777778,0.00484626502237
29,5635,30,0.0,1.0,0.0,8.0,7.0,4.0,4.0,3.0,-0.208311111111,0.0145634808792
30,7333,1,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.234444444444,0.00460912344787
31,7333,2,0.0,,,4.0,,3.0,1.0,,-0.290244444444,0.0111467933226
32,7333,3,1.0,0.0,0.0,6.0,5.0,6.0,0.0,-1.0,-0.270766666667,0.0101584533402
33,7333,4,1.0,0.0,0.0,4.0,5.0,4.0,0.0,1.0,-0.114577777778,0.00844681479993
34,7333,5,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,-0.189,0.00229155864197
35,7333,6,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,-0.377855555556,0.00889073106128
