imgA,imgB,condition
images/k01.bmp,images/i01.bmp,Gestalt-scrambled
images/k02.bmp,images/i02.bmp,Gestalt-scrambled
images/k03.bmp,images/i03.bmp,Gestalt-scrambled
images/k04.bmp,images/i04.bmp,Gestalt-scrambled
images/k05.bmp,images/i05.bmp,Gestalt-scrambled
images/k06.bmp,images/i06.bmp,Gestalt-scrambled
images/k07.bmp,images/i07.bmp,Gestalt-scrambled
images/k08.bmp,images/i08.bmp,Gestalt-scrambled
images/k09.bmp,images/i09.bmp,Gestalt-scrambled
images/k10.bmp,images/i10.bmp,Gestalt-scrambled
images/k11.bmp,images/i11.bmp,Gestalt-scrambled
images/k12.bmp,images/i12.bmp,Gestalt-scrambled
images/k13.bmp,images/i13.bmp,Gestalt-scrambled
images/k14.bmp,images/i14.bmp,Gestalt-scrambled
images/k15.bmp,images/i15.bmp,Gestalt-scrambled
images/k16.bmp,images/i16.bmp,Gestalt-scrambled
images/k17.bmp,images/i17.bmp,Gestalt-scrambled
images/k18.bmp,images/i18.bmp,Gestalt-scrambled
images/k19.bmp,images/i19.bmp,Gestalt-scrambled
images/k20.bmp,images/i20.bmp,Gestalt-scrambled
images/k21.bmp,images/i21.bmp,Gestalt-scrambled
images/k22.bmp,images/i22.bmp,Gestalt-scrambled
images/k23.bmp,images/i23.bmp,Gestalt-scrambled
images/k24.bmp,images/i24.bmp,Gestalt-scrambled
images/k25.bmp,images/i25.bmp,Gestalt-scrambled
images/k26.bmp,images/i26.bmp,Gestalt-scrambled
images/k27.bmp,images/i27.bmp,Gestalt-scrambled
images/k28.bmp,images/i28.bmp,Gestalt-scrambled
images/k29.bmp,images/i29.bmp,Gestalt-scrambled
images/k30.bmp,images/i30.bmp,Gestalt-scrambled
images/INVk01.bmp,images/i01.bmp,Inverted-scrambled
images/INVk03.bmp,images/i02.bmp,Inverted-scrambled
images/INVk04.bmp,images/i04.bmp,Inverted-scrambled
images/INVk05.bmp,images/i05.bmp,Inverted-scrambled
images/INVk06.bmp,images/i06.bmp,Inverted-scrambled
images/INVk09.bmp,images/i09.bmp,Inverted-scrambled
images/INVk10.bmp,images/i10.bmp,Inverted-scrambled
images/INVk12.bmp,images/i12.bmp,Inverted-scrambled
images/INVk14.bmp,images/i14.bmp,Inverted-scrambled
images/INVk15.bmp,images/i15.bmp,Inverted-scrambled
images/INVk16.bmp,images/i16.bmp,Inverted-scrambled
images/INVk18.bmp,images/i18.bmp,Inverted-scrambled
images/INVk19.bmp,images/i19.bmp,Inverted-scrambled
images/INVk21.bmp,images/i21.bmp,Inverted-scrambled
images/INVk22.bmp,images/i22.bmp,Inverted-scrambled
images/INVk23.bmp,images/i23.bmp,Inverted-scrambled
images/INVk24.bmp,images/i24.bmp,Inverted-scrambled
images/INVk25.bmp,images/i25.bmp,Inverted-scrambled
images/INVk26.bmp,images/i26.bmp,Inverted-scrambled
images/INVk27.bmp,images/i27.bmp,Inverted-scrambled
images/INVk28.bmp,images/i28.bmp,Inverted-scrambled
images/INVk29.bmp,images/i29.bmp,Inverted-scrambled
images/INVk30.bmp,images/i30.bmp,Inverted-scrambled
images/INVk01.bmp,images/k01.bmp,Inverted-Gestalt
images/INVk03.bmp,images/k02.bmp,Inverted-Gestalt
images/INVk04.bmp,images/k04.bmp,Inverted-Gestalt
images/INVk05.bmp,images/k05.bmp,Inverted-Gestalt
images/INVk06.bmp,images/k06.bmp,Inverted-Gestalt
images/INVk09.bmp,images/k09.bmp,Inverted-Gestalt
images/INVk10.bmp,images/k10.bmp,Inverted-Gestalt
images/INVk12.bmp,images/k12.bmp,Inverted-Gestalt
images/INVk14.bmp,images/k14.bmp,Inverted-Gestalt
images/INVk15.bmp,images/k15.bmp,Inverted-Gestalt
images/INVk16.bmp,images/k16.bmp,Inverted-Gestalt
images/INVk18.bmp,images/k18.bmp,Inverted-Gestalt
images/INVk19.bmp,images/k19.bmp,Inverted-Gestalt
images/INVk21.bmp,images/k21.bmp,Inverted-Gestalt
images/INVk22.bmp,images/k22.bmp,Inverted-Gestalt
images/INVk23.bmp,images/k23.bmp,Inverted-Gestalt
images/INVk24.bmp,images/k24.bmp,Inverted-Gestalt
images/INVk25.bmp,images/k25.bmp,Inverted-Gestalt
images/INVk26.bmp,images/k26.bmp,Inverted-Gestalt
images/INVk27.bmp,images/k27.bmp,Inverted-Gestalt
images/INVk28.bmp,images/k28.bmp,Inverted-Gestalt
images/INVk29.bmp,images/k29.bmp,Inverted-Gestalt
images/INVk30.bmp,images/k30.bmp,Inverted-Gestalt
