images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,66.0167140961,,,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/i27.bmp,scrambled,,,0,0,0,56,,,,,,,6,8.585,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k30.bmp,gestalt,,,0,1,1,29,,,,,,,5,6.252,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k01.bmp,gestalt,,,0,2,2,0,,,,,,,6,5.402,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/i11.bmp,scrambled,,,0,3,3,40,,,,,,,3,5.151,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/INVk30.bmp,inverted,,,0,4,4,82,,,,,,,7,5.336,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k04.bmp,gestalt,,,0,5,5,3,,,,,,,8,4.169,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/INVk18.bmp,inverted,,,0,6,6,71,,,,,,,6,4.67,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/i19.bmp,scrambled,,,0,7,7,48,,,,,,,7,4.685,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k13.bmp,gestalt,,,0,8,8,12,,,,,,,8,4.236,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/INVk29.bmp,inverted,,,0,9,9,81,,,,,,,6,4.969,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/INVk22.bmp,inverted,,,0,10,10,74,,,,,,,3,4.086,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k07.bmp,gestalt,,,0,11,11,6,,,,,,,2,3.852,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/i18.bmp,scrambled,,,0,12,12,47,,,,,,,4,5.152,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/i12.bmp,scrambled,,,0,13,13,41,,,,,,,8,3.018,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
images/k29.bmp,gestalt,,,0,14,14,28,,,,,,,7,4.519,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,001,22333,
