images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,64.0543451309,,,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk16.bmp,inverted,,,0,0,0,70,,,,,,,6,9.802,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk12.bmp,inverted,,,0,1,1,67,,,,,,,2,5.07,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k07.bmp,gestalt,,,0,2,2,6,,,,,,,3,7.652,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk06.bmp,inverted,,,0,3,3,64,,,,,,,8,2.319,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k09.bmp,gestalt,,,0,4,4,8,,,,,,,5,3.185,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i26.bmp,scrambled,,,0,5,5,55,,,,,,,4,2.968,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k20.bmp,gestalt,,,0,6,6,19,,,,,,,3,2.102,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i13.bmp,scrambled,,,0,7,7,42,,,,,,,2,3.135,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i10.bmp,scrambled,,,0,8,8,39,,,,,,,3,3.619,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k05.bmp,gestalt,,,0,9,9,4,,,,,,,7,3.202,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i09.bmp,scrambled,,,0,10,10,38,,,,,,,7,1.552,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk23.bmp,inverted,,,0,11,11,75,,,,,,,6,2.269,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k28.bmp,gestalt,,,0,12,12,27,,,,,,,5,2.919,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k02.bmp,gestalt,,,0,13,13,1,,,,,,,4,2.835,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk26.bmp,inverted,,,0,14,14,78,,,,,,,2,2.185,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i07.bmp,scrambled,,,0,15,15,36,,,,,,,3,3.019,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/INVk27.bmp,inverted,,,0,16,16,79,,,,,,,2,2.769,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i30.bmp,scrambled,,,0,17,17,59,,,,,,,1,2.635,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k26.bmp,gestalt,,,0,18,18,25,,,,,,,4,2.069,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k14.bmp,gestalt,,,0,19,19,13,,,,,,,1,2.219,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k01.bmp,gestalt,,,0,20,20,0,,,,,,,3,2.119,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/k29.bmp,gestalt,,,0,21,21,28,,,,,,,2,1.319,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i24.bmp,scrambled,,,0,22,22,53,,,,,,,1,1.635,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i29.bmp,scrambled,,,0,23,23,58,,,,,,,2,1.885,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
images/i28.bmp,scrambled,,,0,24,24,57,,,,,,,3,4.002,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,001,23125,
