images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,63.8841061592,,,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/k25.bmp,gestalt,,,0,0,0,24,,,,,,,5,7.103,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/k18.bmp,gestalt,,,0,1,1,17,,,,,,,5,4.852,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/INVk14.bmp,inverted,,,0,2,2,68,,,,,,,5,2.902,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/INVk10.bmp,inverted,,,0,3,3,66,,,,,,,5,2.269,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i27.bmp,scrambled,,,0,4,4,56,,,,,,,4,4.102,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i17.bmp,scrambled,,,0,5,5,46,,,,,,,5,2.068,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/INVk19.bmp,inverted,,,0,6,6,72,,,,,,,5,1.868,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i13.bmp,scrambled,,,0,7,7,42,,,,,,,4,2.635,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/k28.bmp,gestalt,,,0,8,8,27,,,,,,,4,1.585,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i25.bmp,scrambled,,,0,9,9,54,,,,,,,4,2.102,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/k19.bmp,gestalt,,,0,10,10,18,,,,,,,5,1.835,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i12.bmp,scrambled,,,0,11,11,41,,,,,,,4,4.085,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/INVk16.bmp,inverted,,,0,12,12,70,,,,,,,4,2.002,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i02.bmp,scrambled,,,0,13,13,31,,,,,,,3,1.718,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/k27.bmp,gestalt,,,0,14,14,26,,,,,,,5,3.368,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
images/i24.bmp,scrambled,,,0,15,15,53,,,,,,,5,2.619,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,001,7333,
