images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,96.0494086223,,,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk25.bmp,inverted,,,0,0,0,77,,,,,,,3,4.827,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k22.bmp,gestalt,,,0,1,1,21,,,,,,,3,5.543,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i15.bmp,scrambled,,,0,2,2,44,,,,,,,3,7.523,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i10.bmp,scrambled,,,0,3,3,39,,,,,,,4,9.871,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk27.bmp,inverted,,,0,4,4,79,,,,,,,3,2.412,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk16.bmp,inverted,,,0,5,5,70,,,,,,,3,7.831,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i22.bmp,scrambled,,,0,6,6,51,,,,,,,4,2.504,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk26.bmp,inverted,,,0,7,7,78,,,,,,,3,3.642,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i04.bmp,scrambled,,,0,8,8,33,,,,,,,4,4.06,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i14.bmp,scrambled,,,0,9,9,43,,,,,,,3,6.348,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i18.bmp,scrambled,,,0,10,10,47,,,,,,,4,4.419,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k14.bmp,gestalt,,,0,11,11,13,,,,,,,4,4.04,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i11.bmp,scrambled,,,0,12,12,40,,,,,,,5,2.201,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i30.bmp,scrambled,,,0,13,13,59,,,,,,,5,1.411,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k25.bmp,gestalt,,,0,14,14,24,,,,,,,4,4.576,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i17.bmp,scrambled,,,0,15,15,46,,,,,,,2,2.626,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k18.bmp,gestalt,,,0,16,16,17,,,,,,,6,1.913,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i13.bmp,scrambled,,,0,17,17,42,,,,,,,5,2.807,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k13.bmp,gestalt,,,0,18,18,12,,,,,,,5,4.969,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k09.bmp,gestalt,,,0,19,19,8,,,,,,,6,2.551,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk24.bmp,inverted,,,0,20,20,76,,,,,,,6,2.422,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk06.bmp,inverted,,,0,21,21,64,,,,,,,6,1.479,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk29.bmp,inverted,,,0,22,22,81,,,,,,,5,4.373,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i02.bmp,scrambled,,,0,23,23,31,,,,,,,7,3.083,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k05.bmp,gestalt,,,0,24,24,4,,,,,,,6,3.617,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k11.bmp,gestalt,,,0,25,25,10,,,,,,,7,1.98,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k29.bmp,gestalt,,,0,26,26,28,,,,,,,7,2.874,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k16.bmp,gestalt,,,0,27,27,15,,,,,,,5,2.67,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk15.bmp,inverted,,,0,28,28,69,,,,,,,6,1.769,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i05.bmp,scrambled,,,0,29,29,34,,,,,,,6,1.562,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k03.bmp,gestalt,,,0,30,30,2,,,,,,,5,2.383,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk04.bmp,inverted,,,0,31,31,62,,,,,,,6,2.531,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k02.bmp,gestalt,,,0,32,32,1,,,,,,,6,3.725,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i09.bmp,scrambled,,,0,33,33,38,,,,,,,7,3.147,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k06.bmp,gestalt,,,0,34,34,5,,,,,,,6,2.596,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i12.bmp,scrambled,,,0,35,35,41,,,,,,,6,1.531,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k26.bmp,gestalt,,,0,36,36,25,,,,,,,4,1.898,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk30.bmp,inverted,,,0,37,37,82,,,,,,,4,1.738,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k17.bmp,gestalt,,,0,38,38,16,,,,,,,7,1.684,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i26.bmp,scrambled,,,0,39,39,55,,,,,,,7,1.514,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk05.bmp,inverted,,,0,40,40,63,,,,,,,4,3.637,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i01.bmp,scrambled,,,0,41,41,30,,,,,,,6,2.693,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk10.bmp,inverted,,,0,42,42,66,,,,,,,5,2.722,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i29.bmp,scrambled,,,0,43,43,58,,,,,,,4,1.769,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
